idEtudiant,Architecture des Ordinateurs,Techniques de Compilation,Recherche Operationnelle,Developpement Mobile,Programmation Multimedias,Statistiques,Bases de Donnees Avancees,Reseaux Informatiques,Conception Orientee Objet,Programmation Orientee Objet,Conception des Bases de Donnees,Systeme Logique,Probabilites,Algorithmique et Structures de Donnees,Blockchain,Architecture Logicielle,Systemes Exploitation,Entrepreneuriat,Analyse Numerique,Math Pour Ingenieur,Opt 2 : Fouille de Données,Opt 9 : Big Data,Opt 10 : Developpement iOS,Opt 3 : Machine Learning-Deep Learning,Opt 6 : Business Intelligence,Opt 4 : Transactions Electroniques,Opt 1 : Cloud Computing,Opt 8 : Sécurité Informatique,Opt 5 : Réseaux IP,Opt 16 : Réseaux GSM,Opt 12 : Electronique Embarquée,Opt 13 : Système Robotique,Opt 14 : Conception des Cartes Electroniques,Opt 15 : Réseau de Capteurs Sans Fils,Opt 7 : Qualité et Test
1,9.35,9.52,7.02,16.54,8.73,5.07,9.03,8.47,17.66,3.37,6.94,13.59,7.02,7.95,7.8,14.83,17.97,19.82,17.21,18.61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.75,10.69,16.89,14.5,10.83
2,11.15,9.36,17.94,13.14,11.64,14.96,8.82,8.81,17.42,10.5,18.45,13.97,17.94,8.35,11.09,13.01,13.49,15.98,11.57,13.49,19.42,7.15,19.15,16.36,14.47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,17.77,7.27,19.36,11.85,14.88,11.22,10.35,12.57,16.56,11.71,14.52,18.55,19.36,14.35,5.12,18.68,6.19,13.88,9.47,13.24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.54,14.15,15.47,13.59,7.42
4,12.1,11.46,19.75,4.53,14.14,17.85,10.41,16.76,15.43,9.81,15.42,5.51,19.75,10.71,14.15,5.46,8.35,6.27,11.16,4.53,15.19,19.57,15.94,16.82,17.04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,7.63,3.48,3.89,8.52,11.89,5.63,12.84,6.87,19.28,4.82,7.78,13.33,3.89,14.94,15.09,6.96,12.93,10.03,13.38,3.32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.18,14.36,17.07,14.49,15.13
6,19.78,13.28,16.22,14.14,6.54,7.15,7.42,11.73,15.88,7.75,7.73,12.54,16.22,17.47,17.49,3.9,14.5,14.27,13.52,5.87,-1,-1,-1,-1,-1,18.69,13.94,19.48,8.35,16.79,-1,-1,-1,-1,-1
7,5.1,17.03,14.05,18.78,12.64,9.86,12.13,16.81,5.76,16,4.94,14.81,14.05,13.24,8.22,13.11,11.3,6.6,3.2,4.36,9.45,19.13,8.87,13.57,14.23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,15.58,3.06,19.12,3.77,8.64,12.82,4.03,11.42,3.32,13.56,14.68,3.27,19.12,17.82,12.27,9.07,14.13,10.24,3.18,19.89,12.74,15.79,10.48,19.12,18.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,11.69,14.95,5.79,12.64,12.46,9.85,3.1,15.96,13.2,6.77,6.36,19.6,5.79,19.35,13.37,3.8,11.82,14.44,15.38,12.21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15.41,10.45,8.17,17.46,17.25
10,19.33,10.73,14.12,8.89,7.65,3.97,9.22,15.22,16.86,7.78,10.4,4.25,14.12,4.49,14.74,5.01,6.03,10.82,5.44,14.92,19.33,18.8,12.13,15.99,10.12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
